                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                0.39045,                0.27314,                 0.7863,                0.99938,                0.99916,                  0.995,                0.94955,                0.32018,                0.18792,                0.77066,              0.0011725,              0.0011725,              0.0011725
                    109,                0.38943,                  0.274,                 0.7865,                0.99939,                0.99916,                  0.995,                0.94963,                0.31987,                0.18812,                0.77062,                0.00109,                0.00109,                0.00109
                    110,                0.35668,                 0.2191,                0.77964,                0.99939,                0.99915,                  0.995,                0.94973,                0.31946,                0.18826,                0.77058,              0.0010075,              0.0010075,              0.0010075
                    111,                0.35053,                0.21626,                 0.7784,                0.99939,                0.99914,                  0.995,                0.94978,                 0.3192,                0.18836,                0.77051,               0.000925,               0.000925,               0.000925
                    112,                0.34861,                0.21387,                0.77902,                 0.9994,                0.99912,                  0.995,                0.94994,                0.31883,                0.18863,                0.77047,              0.0008425,              0.0008425,              0.0008425
                    113,                0.34622,                0.21164,                0.77791,                 0.9994,                0.99911,                  0.995,                0.95005,                0.31862,                0.18886,                0.77043,                0.00076,                0.00076,                0.00076
                    114,                0.34449,                0.20838,                0.77872,                0.99941,                0.99908,                  0.995,                0.95031,                0.31826,                0.18903,                0.77036,              0.0006775,              0.0006775,              0.0006775
                    115,                0.34108,                0.20745,                  0.778,                0.99941,                0.99908,                  0.995,                 0.9505,                0.31782,                0.18932,                0.77031,               0.000595,               0.000595,               0.000595
                    116,                0.34004,                0.20613,                0.77704,                0.99935,                0.99904,                  0.995,                0.95047,                0.31746,                0.18916,                0.77025,              0.0005125,              0.0005125,              0.0005125
                    117,                0.33962,                0.20349,                0.77736,                0.99936,                0.99902,                  0.995,                0.95066,                0.31728,                0.18924,                0.77023,                0.00043,                0.00043,                0.00043
                    118,                0.33688,                0.20216,                0.77751,                0.99936,                0.99902,                  0.995,                  0.951,                0.31698,                 0.1893,                0.77019,              0.0003475,              0.0003475,              0.0003475
                    119,                0.33502,                0.20139,                0.77623,                0.99936,                  0.999,                  0.995,                0.95101,                 0.3166,                0.18913,                0.77013,               0.000265,               0.000265,               0.000265
